iter	Passed	Remaining
0	163	162964
1	167	83691
2	172	57203
3	176	43859
4	180	36004
5	185	30656
6	189	26843
7	193	23998
8	197	21785
9	200	19861
10	202	18249
11	205	16893
12	207	15762
13	209	14786
14	212	13931
15	215	13259
16	217	12595
17	220	12027
18	222	11506
19	225	11028
20	227	10597
21	229	10186
22	230	9792
23	231	9428
24	233	9094
25	234	8797
26	236	8513
27	237	8247
28	238	7998
29	240	7767
30	241	7554
31	243	7353
32	244	7163
33	245	6984
34	247	6814
35	248	6660
36	250	6508
37	251	6364
38	252	6227
39	253	6093
40	255	5965
41	256	5844
42	257	5728
43	258	5616
44	259	5512
45	260	5410
46	262	5317
47	263	5223
48	264	5133
49	265	5046
50	266	4962
51	267	4881
52	268	4803
53	269	4728
54	271	4658
55	272	4588
56	273	4520
57	274	4454
58	275	4395
59	276	4339
60	278	4280
61	279	4223
62	280	4167
63	281	4113
64	282	4061
65	283	4011
66	284	3962
67	285	3916
68	286	3869
69	287	3824
70	288	3780
71	290	3740
72	291	3700
73	292	3659
74	293	3620
75	294	3581
76	295	3543
77	296	3506
78	297	3471
79	298	3435
80	299	3401
81	300	3367
82	301	3330
83	302	3297
84	303	3266
85	304	3240
86	305	3211
87	307	3183
88	308	3154
89	309	3126
90	310	3099
91	311	3073
92	312	3047
93	313	3020
94	314	2994
95	315	2969
96	316	2944
97	317	2920
98	318	2897
99	319	2875
100	320	2852
101	321	2831
102	322	2809
103	323	2787
104	324	2768
105	325	2748
106	326	2727
107	327	2708
108	328	2688
109	329	2669
110	330	2650
111	332	2633
112	333	2616
113	334	2599
114	335	2582
115	336	2565
116	337	2547
117	338	2530
118	339	2513
119	340	2497
120	341	2480
121	342	2463
122	343	2448
123	344	2432
124	345	2417
125	346	2402
126	347	2387
127	348	2374
128	349	2361
129	350	2346
130	351	2333
131	352	2319
132	353	2306
133	354	2292
134	355	2279
135	356	2267
136	357	2254
137	358	2242
138	359	2229
139	360	2217
140	362	2205
141	362	2192
142	363	2179
143	364	2168
144	365	2156
145	366	2145
146	367	2133
147	368	2122
148	369	2111
149	370	2101
150	372	2094
151	373	2085
152	375	2078
153	376	2069
154	378	2062
155	380	2055
156	381	2048
157	382	2041
158	384	2032
159	385	2023
160	386	2012
161	387	2003
162	388	1994
163	389	1985
164	390	1976
165	392	1969
166	393	1961
167	394	1952
168	395	1944
169	396	1935
170	397	1927
171	399	1920
172	400	1912
173	401	1904
174	402	1896
175	403	1888
176	404	1880
177	405	1873
178	406	1865
179	407	1858
180	409	1850
181	410	1843
182	411	1835
183	412	1827
184	413	1820
185	414	1812
186	415	1805
187	416	1800
188	417	1793
189	419	1786
190	420	1780
191	421	1773
192	422	1767
193	423	1760
194	424	1753
195	426	1747
196	427	1741
197	428	1736
198	430	1730
199	431	1724
200	432	1718
201	433	1711
202	434	1706
203	435	1699
204	436	1693
205	437	1687
206	438	1681
207	439	1675
208	441	1669
209	442	1663
210	443	1658
211	444	1652
212	445	1646
213	446	1640
214	447	1634
215	449	1629
216	450	1624
217	451	1618
218	452	1612
219	453	1607
220	454	1601
221	455	1596
222	456	1590
223	457	1585
224	458	1580
225	460	1575
226	461	1570
227	462	1564
228	463	1560
229	464	1555
230	465	1549
231	466	1545
232	467	1540
233	468	1535
234	470	1530
235	471	1525
236	472	1520
237	473	1515
238	474	1510
239	475	1505
240	476	1500
241	477	1496
242	478	1491
243	479	1486
244	480	1482
245	481	1477
246	483	1472
247	484	1468
248	485	1463
249	486	1459
250	487	1454
251	488	1449
252	489	1444
253	490	1440
254	491	1435
255	492	1432
256	494	1429
257	495	1425
258	497	1422
259	499	1420
260	500	1417
261	501	1414
262	503	1410
263	504	1407
264	505	1403
265	507	1400
266	508	1396
267	509	1392
268	511	1388
269	512	1385
270	513	1381
271	514	1378
272	516	1374
273	517	1371
274	518	1368
275	520	1365
276	521	1362
277	523	1358
278	524	1355
279	525	1351
280	526	1348
281	528	1344
282	529	1341
283	530	1337
284	531	1334
285	532	1330
286	534	1327
287	538	1331
288	540	1328
289	542	1327
290	543	1324
291	545	1322
292	546	1319
293	548	1316
294	549	1313
295	551	1311
296	552	1308
297	554	1306
298	556	1304
299	557	1301
300	559	1299
301	560	1296
302	566	1302
303	568	1301
304	569	1298
305	571	1296
306	572	1292
307	573	1288
308	574	1285
309	575	1281
310	576	1278
311	578	1275
312	579	1272
313	581	1269
314	582	1266
315	583	1262
316	584	1259
317	585	1255
318	586	1252
319	587	1248
320	588	1245
321	589	1241
322	590	1238
323	592	1235
324	594	1233
325	595	1231
326	596	1227
327	597	1224
328	598	1221
329	599	1217
330	600	1214
331	602	1211
332	603	1207
333	604	1204
334	605	1201
335	606	1198
336	608	1196
337	610	1194
338	611	1191
339	612	1188
340	613	1185
341	614	1182
342	615	1178
343	616	1175
344	617	1172
345	618	1169
346	619	1166
347	621	1163
348	622	1161
349	624	1159
350	625	1156
351	626	1153
352	627	1150
353	628	1147
354	629	1144
355	630	1141
356	632	1138
357	633	1135
358	634	1132
359	635	1129
360	636	1127
361	638	1124
362	639	1121
363	640	1119
364	641	1116
365	643	1113
366	644	1112
367	646	1109
368	647	1106
369	648	1104
370	649	1101
371	651	1099
372	652	1096
373	653	1093
374	654	1090
375	655	1088
376	656	1085
377	657	1082
378	658	1079
379	660	1076
380	661	1074
381	662	1071
382	663	1068
383	665	1066
384	666	1064
385	667	1061
386	668	1058
387	669	1056
388	670	1053
389	671	1050
390	672	1047
391	673	1045
392	674	1042
393	676	1039
394	677	1037
395	678	1034
396	679	1031
397	680	1029
398	681	1026
399	682	1023
400	683	1021
401	684	1018
402	687	1018
403	688	1015
404	689	1013
405	690	1010
406	691	1007
407	693	1006
408	695	1004
409	696	1002
410	697	999
411	698	997
412	699	994
413	700	991
414	701	989
415	702	986
416	704	984
417	705	982
418	706	979
419	707	977
420	708	974
421	709	972
422	710	969
423	711	967
424	712	964
425	714	962
426	715	959
427	716	957
428	717	954
429	718	952
430	719	949
431	720	947
432	721	945
433	723	943
434	724	940
435	725	938
436	726	935
437	727	933
438	728	930
439	729	928
440	730	925
441	731	923
442	732	921
443	733	918
444	734	916
445	736	914
446	738	913
447	739	911
448	741	909
449	742	907
450	743	905
451	744	902
452	745	900
453	746	898
454	747	895
455	748	893
456	749	891
457	751	888
458	752	886
459	753	884
460	754	882
461	755	879
462	756	877
463	757	875
464	758	873
465	759	870
466	760	868
467	761	866
468	762	863
469	763	861
470	765	859
471	766	857
472	767	855
473	768	852
474	769	850
475	770	848
476	771	845
477	772	843
478	773	841
479	774	839
480	775	837
481	776	835
482	777	832
483	779	830
484	780	828
485	781	826
486	782	824
487	783	822
488	784	820
489	785	817
490	786	815
491	787	813
492	788	811
493	789	809
494	790	806
495	792	804
496	793	802
497	794	800
498	795	798
499	796	796
500	797	794
501	798	792
502	799	789
503	800	787
504	801	785
505	802	783
506	803	781
507	804	779
508	805	777
509	806	775
510	807	772
511	808	770
512	810	769
513	811	767
514	812	764
515	813	762
516	814	760
517	815	758
518	816	756
519	817	754
520	818	752
521	819	750
522	820	748
523	821	746
524	822	744
525	823	742
526	824	740
527	825	738
528	826	736
529	827	734
530	828	732
531	829	729
532	830	727
533	831	725
534	832	724
535	834	722
536	835	720
537	836	718
538	837	715
539	838	713
540	839	712
541	840	710
542	841	708
543	842	706
544	843	704
545	844	702
546	845	700
547	846	698
548	847	696
549	848	694
550	849	692
551	851	690
552	852	688
553	853	686
554	854	685
555	855	683
556	856	681
557	857	679
558	858	677
559	859	675
560	860	673
