iter	Passed	Remaining
0	1	1965
1	4	2134
2	6	2015
3	7	1812
4	8	1677
5	9	1581
6	10	1529
7	12	1551
8	14	1593
9	15	1558
10	17	1575
11	18	1559
12	20	1526
13	21	1507
14	22	1479
15	23	1455
16	24	1432
17	27	1501
18	29	1541
19	31	1554
20	32	1536
21	34	1517
22	35	1499
23	36	1482
24	37	1467
25	39	1470
26	40	1454
27	46	1605
28	48	1625
29	51	1653
30	52	1643
31	53	1626
32	54	1610
33	56	1598
34	58	1622
35	64	1726
36	65	1711
37	67	1696
38	68	1678
39	69	1665
40	70	1648
41	71	1635
42	76	1696
43	77	1683
44	78	1672
45	79	1658
46	81	1649
47	82	1637
48	83	1624
49	84	1610
50	85	1598
51	88	1617
52	90	1612
53	92	1621
54	94	1628
55	96	1618
56	97	1608
57	98	1597
58	99	1586
59	100	1575
60	101	1569
61	105	1602
62	107	1592
63	108	1582
64	109	1572
65	110	1562
66	111	1552
67	112	1543
68	113	1535
69	114	1527
70	116	1519
71	118	1532
72	120	1526
73	121	1520
74	122	1512
75	123	1504
76	124	1496
77	125	1488
78	127	1480
79	128	1474
80	129	1469
81	130	1462
82	131	1453
83	134	1461
84	135	1455
85	136	1449
86	137	1444
87	138	1439
88	140	1439
89	143	1455
90	145	1450
91	147	1451
92	150	1463
93	154	1491
94	159	1523
95	166	1571
96	168	1566
97	172	1585
98	179	1629
99	181	1634
100	182	1628
101	187	1652
102	189	1653
103	193	1668
104	199	1696
105	200	1692
106	202	1693
107	210	1738
108	213	1743
109	214	1739
110	216	1736
111	223	1771
112	227	1787
113	230	1793
114	232	1791
115	241	1844
116	243	1835
117	247	1848
118	249	1844
119	253	1859
120	256	1862
121	257	1854
122	260	1858
123	263	1860
124	271	1899
125	274	1906
126	279	1918
127	281	1918
128	289	1954
129	290	1946
130	294	1951
131	302	1986
132	304	1985
133	306	1979
134	327	2099
135	337	2145
136	339	2138
137	349	2180
138	357	2215
139	359	2209
140	369	2251
141	370	2238
142	373	2240
143	375	2233
144	384	2264
145	385	2256
146	391	2274
147	398	2294
148	401	2294
149	404	2293
150	411	2311
151	415	2316
152	418	2318
153	421	2313
154	428	2333
155	429	2322
156	433	2329
157	439	2342
158	441	2337
159	443	2328
160	444	2315
161	450	2332
162	455	2339
163	457	2334
164	461	2333
165	463	2326
166	471	2353
167	473	2345
168	479	2358
169	484	2363
170	486	2356
171	489	2358
172	492	2353
173	494	2346
174	496	2338
175	497	2328
176	499	2322
177	503	2323
178	506	2323
179	508	2316
180	513	2321
181	514	2314
182	518	2315
183	521	2314
184	523	2308
185	528	2314
186	530	2306
187	533	2302
188	536	2300
189	537	2291
190	540	2291
191	544	2290
192	547	2287
193	551	2289
194	553	2283
195	558	2289
196	560	2282
197	562	2280
198	566	2281
199	570	2281
200	574	2282
201	575	2274
202	577	2268
203	580	2264
204	584	2266
205	587	2263
206	589	2257
207	592	2255
208	594	2249
209	599	2254
210	600	2246
211	602	2240
212	605	2237
213	607	2230
214	611	2232
215	613	2225
216	617	2228
217	620	2225
218	621	2216
219	625	2216
220	626	2208
221	628	2202
222	631	2202
223	633	2194
224	634	2185
225	635	2176
226	636	2168
227	639	2165
228	641	2161
229	643	2154
230	647	2156
231	650	2154
232	652	2146
233	656	2149
234	658	2142
235	659	2134
236	662	2131
237	665	2129
238	666	2122
239	670	2124
240	672	2119
241	674	2113
242	677	2109
243	681	2110
244	685	2111
245	687	2105
246	688	2099
247	691	2097
248	695	2097
249	697	2091
250	701	2092
251	702	2086
252	704	2080
253	707	2077
254	712	2081
255	720	2092
256	728	2105
257	733	2109
258	735	2104
259	737	2098
260	740	2097
261	749	2110
262	751	2105
263	754	2103
264	756	2098
265	757	2091
266	759	2084
267	762	2083
268	765	2080
269	766	2073
270	768	2066
271	769	2058
272	770	2051
273	771	2044
274	772	2037
275	773	2029
276	775	2023
277	778	2021
278	779	2014
279	780	2008
280	782	2001
281	783	1994
282	784	1988
283	785	1981
284	786	1974
285	788	1967
286	789	1960
287	792	1959
288	794	1954
289	795	1948
290	797	1941
291	798	1935
292	799	1928
293	800	1922
294	801	1915
295	802	1909
296	804	1903
297	807	1902
298	808	1895
299	809	1889
300	810	1883
301	811	1876
302	813	1870
303	814	1864
304	815	1857
305	816	1852
306	818	1846
307	819	1840
308	822	1838
309	823	1833
310	824	1827
311	825	1821
312	826	1815
313	828	1809
314	829	1803
315	830	1797
316	831	1791
317	832	1785
318	833	1780
319	836	1777
320	837	1772
321	839	1768
322	842	1766
323	844	1762
324	846	1757
325	847	1752
326	848	1747
327	850	1743
328	858	1751
329	861	1748
330	863	1744
331	868	1747
332	870	1743
333	872	1739
334	877	1741
335	881	1741
336	883	1738
337	885	1733
338	888	1732
339	891	1729
340	892	1724
341	897	1726
342	899	1722
343	901	1718
344	904	1716
345	908	1717
346	913	1718
347	914	1713
348	919	1714
349	922	1713
350	925	1710
351	928	1709
352	930	1704
353	933	1703
354	936	1701
355	941	1703
356	943	1700
357	948	1700
358	954	1704
359	959	1705
360	963	1705
361	968	1706
362	976	1713
363	981	1715
364	996	1733
365	1007	1744
366	1020	1760
367	1024	1760
368	1028	1759
369	1030	1755
370	1037	1758
371	1039	1754
372	1042	1751
373	1044	1747
374	1048	1747
375	1052	1747
376	1054	1742
377	1057	1739
378	1060	1737
379	1061	1732
380	1063	1728
381	1067	1726
382	1068	1722
383	1076	1727
384	1080	1726
385	1082	1722
386	1086	1720
387	1090	1720
388	1092	1716
389	1103	1726
390	1106	1722
391	1109	1721
392	1113	1719
393	1116	1717
394	1118	1712
395	1121	1710
396	1123	1706
397	1126	1704
398	1129	1701
399	1131	1696
400	1132	1691
401	1134	1687
402	1136	1684
403	1138	1680
404	1141	1677
405	1143	1672
406	1144	1667
407	1145	1661
408	1147	1657
409	1151	1656
410	1153	1652
411	1156	1650
412	1159	1647
413	1160	1642
414	1161	1637
415	1164	1634
416	1166	1630
417	1167	1625
418	1170	1623
419	1172	1619
420	1173	1614
421	1175	1610
422	1177	1605
423	1180	1603
424	1182	1599
425	1183	1595
426	1185	1590
427	1186	1585
428	1187	1580
429	1188	1575
430	1189	1570
431	1193	1569
432	1194	1564
433	1195	1559
434	1197	1554
435	1198	1550
436	1199	1545
437	1200	1540
438	1202	1536
439	1203	1531
440	1204	1526
441	1206	1523
442	1208	1519
443	1210	1515
444	1212	1511
445	1213	1507
446	1214	1502
447	1215	1498
448	1217	1493
449	1218	1488
450	1219	1484
451	1221	1480
452	1222	1476
453	1224	1472
454	1225	1468
455	1227	1464
456	1229	1460
457	1230	1456
458	1231	1451
459	1232	1447
460	1234	1443
461	1236	1440
462	1238	1436
463	1239	1431
464	1240	1427
465	1242	1423
466	1243	1418
467	1244	1414
468	1245	1410
469	1247	1406
470	1248	1402
471	1250	1398
472	1252	1395
473	1253	1391
474	1254	1386
475	1256	1382
476	1257	1378
477	1258	1374
478	1259	1370
479	1260	1366
480	1262	1361
481	1263	1357
482	1265	1354
483	1267	1350
484	1268	1346
485	1269	1342
486	1270	1338
487	1271	1334
488	1272	1329
489	1273	1325
490	1274	1321
491	1275	1317
492	1277	1313
493	1278	1309
494	1280	1306
495	1282	1302
496	1283	1298
497	1284	1294
498	1285	1290
499	1286	1286
500	1287	1282
501	1288	1278
502	1289	1274
503	1291	1270
504	1292	1266
505	1293	1262
506	1295	1259
507	1296	1255
508	1298	1252
509	1299	1248
510	1300	1244
511	1302	1241
512	1303	1237
513	1304	1233
514	1305	1229
515	1306	1225
516	1307	1221
517	1309	1218
518	1311	1215
519	1312	1211
520	1313	1207
521	1314	1203
522	1315	1200
523	1317	1196
524	1318	1192
525	1319	1188
526	1320	1185
527	1321	1181
528	1322	1177
529	1324	1174
530	1326	1171
531	1327	1167
532	1328	1164
533	1329	1160
534	1331	1156
535	1332	1153
536	1333	1149
537	1334	1146
538	1335	1142
539	1336	1138
540	1337	1135
541	1340	1132
542	1341	1129
543	1342	1125
544	1344	1122
545	1345	1118
546	1346	1114
547	1347	1111
548	1348	1107
549	1349	1104
550	1350	1100
551	1352	1097
552	1354	1094
553	1355	1091
554	1356	1087
555	1358	1084
556	1359	1081
557	1360	1077
558	1361	1074
559	1362	1070
560	1363	1067
561	1364	1063
562	1365	1060
563	1367	1056
564	1368	1053
565	1370	1050
566	1371	1047
567	1372	1043
568	1373	1040
569	1374	1037
570	1375	1033
571	1377	1030
572	1378	1027
573	1379	1023
574	1380	1020
575	1381	1017
576	1384	1014
577	1385	1011
578	1386	1008
579	1387	1004
580	1388	1001
581	1390	998
582	1391	995
583	1392	991
584	1393	988
585	1394	985
586	1395	981
587	1396	978
588	1399	976
589	1400	973
590	1402	970
591	1403	967
592	1404	964
593	1406	961
594	1407	957
595	1408	954
596	1409	951
597	1410	948
598	1411	945
599	1414	943
600	1415	940
601	1417	936
602	1418	933
603	1419	930
604	1420	927
605	1421	924
606	1423	921
607	1424	918
608	1425	915
609	1426	911
610	1428	909
611	1429	906
612	1430	903
613	1432	900
614	1434	898
615	1436	895
616	1437	892
617	1438	889
618	1439	886
619	1440	883
620	1443	880
621	1445	878
622	1447	876
623	1449	873
624	1452	871
625	1454	868
626	1455	865
627	1457	863
628	1459	860
629	1460	857
630	1461	854
631	1462	851
632	1464	848
633	1465	845
634	1466	842
635	1468	840
636	1469	837
637	1470	834
638	1471	831
639	1474	829
640	1475	826
641	1476	823
642	1477	820
643	1479	817
644	1480	814
645	1481	811
646	1482	808
647	1483	806
648	1485	803
649	1487	801
650	1489	798
651	1490	795
652	1492	792
653	1493	790
654	1494	787
655	1495	784
656	1496	781
657	1497	778
658	1499	775
659	1500	772
660	1503	771
661	1505	768
662	1506	765
663	1507	762
664	1508	759
665	1509	757
666	1510	754
667	1511	751
668	1513	748
669	1514	746
670	1516	743
671	1517	740
672	1518	738
673	1520	735
674	1521	732
675	1522	729
676	1523	726
677	1524	724
678	1525	721
679	1527	718
680	1528	715
681	1529	713
682	1532	711
683	1533	708
684	1534	705
685	1536	703
686	1537	700
687	1538	697
688	1539	695
689	1540	692
690	1542	689
691	1543	687
692	1544	684
693	1547	682
694	1548	679
695	1549	676
696	1551	674
697	1552	671
698	1553	668
699	1554	666
700	1556	663
701	1557	661
702	1558	658
703	1560	655
704	1562	653
705	1563	650
706	1564	648
707	1566	645
708	1568	643
709	1570	641
710	1572	639
711	1574	636
712	1576	634
713	1579	632
714	1585	632
715	1586	629
716	1589	627
717	1590	624
718	1593	622
719	1595	620
720	1599	618
721	1601	616
722	1602	613
723	1604	611
724	1607	609
725	1609	607
726	1615	606
727	1616	604
728	1617	601
729	1620	599
730	1624	597
731	1627	595
732	1630	593
733	1631	591
734	1632	588
735	1634	586
736	1637	584
737	1639	581
738	1642	580
739	1646	578
740	1647	575
741	1649	573
742	1653	571
743	1654	569
744	1660	568
745	1661	565
746	1662	563
747	1664	560
748	1668	558
749	1670	556
750	1672	554
751	1674	552
752	1675	549
753	1676	547
754	1678	544
755	1679	542
756	1683	540
757	1684	537
758	1686	535
759	1687	533
760	1689	530
761	1690	527
762	1691	525
763	1692	522
764	1694	520
765	1697	518
766	1698	516
767	1699	513
768	1701	510
769	1702	508
770	1703	505
771	1704	503
772	1705	500
773	1706	498
774	1707	495
775	1711	493
776	1712	491
777	1713	489
778	1714	486
779	1716	484
780	1717	481
781	1718	478
782	1719	476
783	1720	474
784	1721	471
785	1722	469
786	1725	466
787	1726	464
788	1727	462
789	1729	459
790	1730	457
791	1731	454
792	1733	452
793	1734	450
794	1735	447
795	1737	445
796	1739	443
797	1741	440
798	1742	438
799	1744	436
800	1746	433
801	1747	431
802	1748	428
803	1749	426
804	1750	424
805	1751	421
806	1752	419
807	1756	417
808	1757	414
809	1758	412
810	1759	410
811	1760	407
812	1761	405
813	1762	402
814	1763	400
815	1764	397
816	1766	395
817	1767	393
818	1768	390
819	1770	388
820	1772	386
821	1773	384
822	1775	381
823	1776	379
824	1777	376
825	1778	374
826	1779	372
827	1780	369
828	1782	367
829	1783	365
830	1785	363
831	1786	360
832	1787	358
833	1788	356
834	1789	353
835	1791	351
836	1792	349
837	1793	346
838	1794	344
839	1795	342
840	1796	339
841	1798	337
842	1801	335
843	1803	333
844	1805	331
845	1807	328
846	1809	326
847	1810	324
848	1811	322
849	1812	319
850	1815	317
